Game,Date,Competition,Home team,Result,Away team,Lineup,Minutes,Goals,Assists,Cards,Jersey
801,13-03-2019,UEFA Champions League,FC Barcelona,5-1,Olympique Lyonnais,Starter,90,2,2,0,10
800,09-03-2019,La Liga,FC Barcelona,3-1,Rayo Vallecano,Starter,90,1,1,0,10
799,02-03-2019,La Liga,Real Madrid,0-1,FC Barcelona,Starter,90,0,0,0,10
798,27-02-2019,Copa del Rey,Real Madrid,0-3,FC Barcelona,Starter,90,0,0,0,10
797,23-02-2019,La Liga,Sevilla,2-4,FC Barcelona,Starter,90,3,1,0,10
796,19-02-2019,UEFA Champions League,Olympique Lyonnais,0-0,FC Barcelona,Starter,90,0,0,0,10
795,16-02-2019,La Liga,FC Barcelona,1-0,Real Valladolid,Starter,90,1,0,1,10
794,10-02-2019,La Liga,Athletic de Bilbao,0-0,FC Barcelona,Starter,90,0,0,0,10
793,06-02-2019,Copa del Rey,FC Barcelona,1-1,Real Madrid,Substitute,28,0,0,0,10
792,02-02-2019,La Liga,FC Barcelona,2-2,Valencia,Starter,90,2,0,0,10
791,30-01-2019,Copa del Rey,FC Barcelona,6-1,Sevilla,Starter,90,1,1,0,10
790,27-01-2019,La Liga,Girona,0-2,FC Barcelona,Starter,90,1,0,0,10
789,20-01-2019,La Liga,FC Barcelona,3-1,Leganés,Substitute,27,1,0,0,10
788,17-01-2019,Copa del Rey,FC Barcelona,3-0,Levante,Starter,90,1,1,0,10
787,13-01-2019,La Liga,FC Barcelona,3-0,Eibar,Starter,90,1,0,0,10
786,06-01-2019,La Liga,Getafe,1-2,FC Barcelona,Starter,90,1,0,0,10
785,22-12-2018,La Liga,FC Barcelona,2-0,Celta de Vigo,Starter,90,1,0,0,10
784,16-12-2018,La Liga,Levante,0-5,FC Barcelona,Starter,90,3,2,0,10
783,11-12-2018,UEFA Champions League,FC Barcelona,1-1,Tottenham Hotspur F.C.,Substitute,28,0,0,0,10
782,08-12-2018,La Liga,Espanyol,0-4,FC Barcelona,Starter,90,2,1,0,10
781,02-12-2018,La Liga,FC Barcelona,2-0,Villarreal,Starter,90,0,1,0,10
780,28-11-2018,UEFA Champions League,PSV Eindhoven,1-2,FC Barcelona,Starter,90,1,1,0,10
779,24-11-2018,La Liga,Atlético Madrid,1-1,FC Barcelona,Starter,90,0,1,0,10
778,11-11-2018,La Liga,FC Barcelona,3-4,Real Betis,Starter,90,2,0,0,10
777,20-10-2018,La Liga,FC Barcelona,4-2,Sevilla,Starter,25,1,1,0,10
776,07-10-2018,La Liga,Valencia,1-1,FC Barcelona,Starter,90,1,0,0,10
775,03-10-2018,UEFA Champions League,Tottenham Hotspur F.C.,2-4,FC Barcelona,Starter,90,2,0,0,10
774,29-09-2018,La Liga,FC Barcelona,1-1,Athletic de Bilbao,Substitute,36,0,1,1,10
773,26-09-2018,La Liga,Leganés,2-1,FC Barcelona,Starter,90,0,1,0,10
772,23-09-2018,La Liga,FC Barcelona,2-2,Girona,Starter,90,1,0,0,10
771,18-09-2018,UEFA Champions League,FC Barcelona,4-0,PSV Eindhoven,Starter,90,3,0,0,10
770,15-09-2018,La Liga,Real Sociedad,1-2,FC Barcelona,Starter,90,0,0,0,10
769,02-09-2018,La Liga,FC Barcelona,8-2,Huesca,Starter,90,2,2,0,10
768,25-08-2018,La Liga,Real Valladolid,0-1,FC Barcelona,Starter,90,0,0,0,10
767,18-08-2018,La Liga,FC Barcelona,3-0,Alavés,Starter,90,2,0,0,10
766,12-08-2018,Spanish Super Cup,Sevilla,1-2,FC Barcelona,Starter,90,0,1,0,10
765,30-06-2018,World Cup 2018,France,4-3,Argentina,Starter,90,0,2,0,10
764,26-06-2018,World Cup 2018,Nigeria,1-2,Argentina,Starter,90,1,0,1,10
763,21-06-2018,World Cup 2018,Argentina,0-3,Croatia,Starter,90,0,0,0,10
762,16-06-2018,World Cup 2018,Argentina,1-1,Iceland,Starter,90,0,0,0,10
761,29-05-2018,International friendly,Argentina,4-0,Haiti,Starter,90,3,1,0,10
760,20-05-2018,La Liga,FC Barcelona,1-0,Real Sociedad,Substitute,24,0,0,0,10
759,09-05-2018,La Liga,FC Barcelona,5-1,Villarreal,Starter,90,1,0,0,10
758,06-05-2018,La Liga,FC Barcelona,2-2,Real Madrid,Starter,90,1,0,1,10
757,29-04-2018,La Liga,Deportivo La Coruña,2-4,FC Barcelona,Starter,90,3,0,0,10
756,21-04-2018,Copa del Rey,Sevilla,0-5,FC Barcelona,Starter,90,1,2,0,10
